"","equip","econ","perAA","rural","atlanta","gore","bush","other","votes","ballots","undercount","pergore"
"JEFFERSON","LEVER","poor",0.526,"rural","notAtlanta",2973,2559,34,5566,5810,0.0419965576592083,0.534135824649659
"JENKINS","LEVER","poor",0.371,"rural","notAtlanta",1250,1317,26,2593,2704,0.0410502958579882,0.482067103740841
"JOHNSON","LEVER","poor",0.279,"rural","notAtlanta",1065,1797,21,2883,2961,0.0263424518743668,0.369406867845994
"JONES","OS-PC","middle",0.229,"urban","notAtlanta",3102,4850,116,8068,8430,0.0429418742586002,0.384481903817551
"LAMAR","OS-CC","middle",0.255,"rural","notAtlanta",2194,2912,124,5230,5452,0.0407190022010271,0.419502868068834
"LANIER","LEVER","poor",0.234,"rural","notAtlanta",832,1048,24,1904,2023,0.0588235294117647,0.436974789915966
"LAURENS","LEVER","poor",0.288,"rural","notAtlanta",5724,8133,179,14036,14565,0.0363199450738071,0.407808492447991
"LEE","PUNCH","middle",0.135,"urban","notAtlanta",1936,5872,76,7884,8130,0.0302583025830258,0.245560629122273
"LIBERTY","LEVER","poor",0.435,"rural","notAtlanta",5347,4455,170,9972,10320,0.0337209302325581,0.536201363818692
"LINCOLN","PUNCH","poor",0.31,"rural","notAtlanta",1275,1807,21,3103,3300,0.0596969696969697,0.410892684498872
"LONG","LEVER","poor",0.224,"rural","notAtlanta",975,1320,19,2314,2402,0.0366361365528726,0.421348314606742
"LOWNDES","OS-PC","middle",0.288,"rural","notAtlanta",10616,14462,354,25432,25911,0.0184863571456138,0.417426863793646
"LUMPKIN","OS-CC","middle",0.011,"rural","notAtlanta",2121,4427,202,6750,6886,0.0197502178332849,0.314222222222222
"MACON","LEVER","poor",0.578,"rural","notAtlanta",2757,1566,32,4355,4603,0.053877905713665,0.633065442020666
"MADISON","LEVER","middle",0.07,"urban","notAtlanta",2285,5529,179,7993,8254,0.0316210322267991,0.285875140748155
"MARION","PUNCH","poor",0.337,"rural","notAtlanta",982,1187,15,2184,2186,0.000914913083257091,0.4496336996337
"MCDUFFIE","OS-CC","poor",0.317,"urban","notAtlanta",2580,3926,44,6550,6832,0.0412763466042155,0.393893129770992
"MCINTOSH","LEVER","poor",0.386,"rural","notAtlanta",2047,1766,24,3837,4144,0.0740830115830116,0.533489705499088
"MERIWETHER","OS-CC","poor",0.392,"rural","notAtlanta",3441,3162,106,6709,7178,0.0653385344106994,0.512893128633179
"MILLER","LEVER","middle",0.22,"rural","notAtlanta",783,1349,18,2150,2215,0.0293453724604966,0.364186046511628
"MITCHELL","OS-CC","poor",0.414,"rural","notAtlanta",2971,2790,38,5799,6292,0.0783534647171011,0.512329712019314
"MONROE","OS-CC","middle",0.23,"rural","notAtlanta",2839,4561,141,7541,7837,0.0377695546765344,0.376475268532025
"MONTGOMERY","PAPER","poor",0.243,"rural","notAtlanta",1013,1465,31,2509,2573,0.0248736883015935,0.403746512554803
"MORGAN","OS-CC","middle",0.231,"rural","notAtlanta",2238,3524,140,5902,6199,0.0479109533795773,0.379193493730939
"MURRAY","OS-CC","middle",0.003,"rural","notAtlanta",2684,5539,149,8372,8742,0.0423244108899565,0.320592451027234
"MUSCOGEE","OS-PC","middle",0.396,"urban","notAtlanta",28193,23479,491,52163,54471,0.0423711699803565,0.540478883499799
"NEWTON","PUNCH","middle",0.197,"urban","notAtlanta",6703,11127,545,18375,19157,0.0408205877747038,0.364789115646258
"OCONEE","OS-PC","rich",0.042,"urban","notAtlanta",3184,7611,373,11168,11361,0.0169879412023589,0.285100286532951
"OGLETHORPE","OS-CC","middle",0.156,"rural","notAtlanta",1519,2706,160,4385,4602,0.0471534115601912,0.346408209806157
"PAULDING","PUNCH","rich",0.067,"urban","Atlanta",6743,16881,636,24260,24947,0.0275383813685012,0.277947238252267
"PEACH","LEVER","poor",0.411,"urban","notAtlanta",3540,3525,72,7137,7296,0.0217927631578947,0.496006725514922
"PICKENS","LEVER","rich",0.007,"urban","notAtlanta",2489,5488,224,8201,8303,0.012284716367578,0.303499573222778
"PIERCE","LEVER","middle",0.107,"rural","notAtlanta",1300,3348,33,4681,4897,0.0441086379415969,0.277718436231574
"PIKE","OS-CC","middle",0.138,"rural","notAtlanta",1413,3358,114,4885,5055,0.0336300692383778,0.289252814738997
"POLK","OS-CC","middle",0.117,"rural","notAtlanta",4112,5841,163,10116,10520,0.0384030418250951,0.406484776591538
"PULASKI","LEVER","middle",0.267,"rural","notAtlanta",1390,1922,34,3346,3547,0.0566676064279673,0.415421398684997
"PUTNAM","OS-PC","middle",0.267,"rural","notAtlanta",2612,3596,91,6299,6712,0.0615315852205006,0.414668995078584
"QUITMAN","LEVER","poor",0.418,"rural","notAtlanta",542,348,14,904,931,0.0290010741138561,0.599557522123894
"RABUN","LEVER","rich",0.002,"rural","notAtlanta",1776,3451,114,5341,5536,0.0352239884393064,0.332521999625538
"RANDOLPH","OS-PC","poor",0.527,"rural","notAtlanta",1381,1174,14,2569,3021,0.149619331347236,0.537563254184508
"RICHMOND","PUNCH","middle",0.454,"urban","notAtlanta",31413,25485,640,57538,60904,0.0552673059240772,0.545952240258612
"ROCKDALE","OS-CC","rich",0.145,"urban","Atlanta",8295,15440,755,24490,25229,0.0292916881366681,0.338709677419355
"SCHLEY","LEVER","middle",0.277,"rural","notAtlanta",460,706,10,1176,1199,0.0191826522101751,0.391156462585034
"SCREVEN","LEVER","poor",0.385,"rural","notAtlanta",2233,2461,25,4719,4832,0.023385761589404,0.473193473193473
"SEMINOLE","PUNCH","poor",0.271,"rural","notAtlanta",1313,1537,27,2877,3058,0.0591890124264225,0.456378171706639
"SPALDING","LEVER","middle",0.233,"urban","notAtlanta",5831,9271,289,15391,15798,0.025762754779086,0.37885777402378
"STEPHENS","LEVER","middle",0.09,"rural","notAtlanta",2869,5370,137,8376,8706,0.0379048931771192,0.342526265520535
"STEWART","LEVER","poor",0.599,"rural","notAtlanta",1267,675,12,1954,2077,0.059220028887819,0.648413510747185
"SUMTER","LEVER","poor",0.431,"rural","notAtlanta",4748,4847,102,9697,10315,0.0599127484246243,0.489635969887594
"TALBOT","LEVER","poor",0.581,"rural","notAtlanta",1662,844,25,2531,2601,0.0269127258746636,0.656657447649151
"TALIAFERRO","PAPER","poor",0.596,"rural","notAtlanta",556,271,5,832,881,0.0556186152099886,0.668269230769231
"TATTNALL","LEVER","poor",0.218,"rural","notAtlanta",1963,3597,50,5610,6025,0.0688796680497925,0.349910873440285
"TAYLOR","OS-CC","poor",0.402,"rural","notAtlanta",1340,1412,28,2780,3084,0.0985732814526589,0.482014388489209
"TELFAIR","LEVER","poor",0.302,"rural","notAtlanta",1777,1693,23,3493,3855,0.0939040207522698,0.508731749212711
"TERRELL","LEVER","poor",0.546,"rural","notAtlanta",1584,1504,25,3113,3279,0.0506251906068923,0.508833922261484
"THOMAS","OS-CC","middle",0.314,"rural","notAtlanta",4862,7093,103,12058,12777,0.0562729905298583,0.403217780726489
"TIFT","LEVER","poor",0.216,"rural","notAtlanta",3547,6678,103,10328,10803,0.0439692677959826,0.343435321456235
"TOOMBS","LEVER","poor",0.214,"rural","notAtlanta",2643,4487,80,7210,7667,0.0596061040824312,0.366574202496533
"TOWNS","OS-CC","middle",0,"rural","notAtlanta",1495,2902,100,4497,4621,0.0268340186106903,0.332443851456527
"TREUTLEN","OS-CC","poor",0.293,"rural","notAtlanta",879,1062,22,1963,2168,0.0945571955719557,0.447784004075395
"TROUP","OS-CC","middle",0.244,"rural","notAtlanta",6379,11198,227,17804,18479,0.03652795064668,0.358290271849023
"TURNER","PUNCH","poor",0.352,"rural","notAtlanta",1169,1258,29,2456,2661,0.0770387072529124,0.475977198697068
"TWIGGS","PUNCH","poor",0.446,"urban","notAtlanta",1977,1570,68,3615,3884,0.0692584963954686,0.546887966804979
"UNION","OS-PC","middle",0,"rural","notAtlanta",2230,4567,159,6956,7221,0.0366985182107741,0.320586543990799
"UPSON","OS-CC","middle",0.241,"rural","notAtlanta",3158,5019,105,8282,8791,0.0579001251279718,0.381308862593576
"WALKER","OS-CC","middle",0.034,"urban","notAtlanta",6341,12326,228,18895,19654,0.0386180930090567,0.335591426303255
"WALTON","OS-CC","middle",0.118,"urban","notAtlanta",5484,12966,633,19083,19785,0.0354814253222138,0.287376198710895
"WARE","OS-CC","poor",0.221,"rural","notAtlanta",3480,6099,49,9628,10283,0.0636973645823203,0.36144578313253
"WARREN","LEVER","poor",0.549,"rural","notAtlanta",1196,933,16,2145,2226,0.0363881401617251,0.557575757575758
"WASHINGTON","LEVER","poor",0.462,"rural","notAtlanta",3476,3162,53,6691,6927,0.0340695827919734,0.519503811089523
"WAYNE","OS-CC","poor",0.152,"rural","notAtlanta",2736,5219,49,8004,8342,0.0405178614241189,0.341829085457271
"WEBSTER","LEVER","poor",0.454,"rural","notAtlanta",541,359,9,909,950,0.0431578947368421,0.595159515951595
"WHEELER","OS-PC","poor",0.254,"rural","notAtlanta",752,813,10,1575,1733,0.0911713791113676,0.477460317460317
"WHITE","LEVER","middle",0.019,"rural","notAtlanta",2014,4857,172,7043,7338,0.0402016898337422,0.285957688485021
"WHITFIELD","OS-PC","rich",0.04,"rural","notAtlanta",7034,15852,416,23302,23854,0.0231407730359688,0.301862501072869
"WILCOX","LEVER","poor",0.265,"rural","notAtlanta",962,1381,22,2365,2430,0.0267489711934156,0.40676532769556
"WILKES","LEVER","middle",0.386,"rural","notAtlanta",1940,2044,42,4026,4136,0.0265957446808511,0.481867858917039
"WILKINSON","LEVER","poor",0.408,"rural","notAtlanta",1884,1800,56,3740,3792,0.0137130801687764,0.503743315508021
"WORTH","PUNCH","poor",0.266,"rural","notAtlanta",2214,3792,55,6061,6458,0.0614741406008052,0.365286256393334
