,Customer.Lifetime.Value,Coverage,Education,EmploymentStatus,Gender,Income,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size
49,5597.12496,Extended,High School or Below,Employed,F,37995,Suburban,Married,139,16,50,0,1,Personal Auto,Personal L3,Offer1,Branch,667.2,SUV,2
50,7462.926263,Extended,College,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L1,Offer2,Call Center,7.345946,Two-Door Car,3
51,8149.769437,Basic,College,Employed,F,36737,Suburban,Married,69,6,95,0,2,Personal Auto,Personal L2,Offer2,Call Center,350.4,Two-Door Car,2
53,2933.498052,Extended,Bachelor,Unemployed,F,0,Suburban,Single,80,8,74,0,1,Personal Auto,Personal L3,Offer2,Agent,408,Four-Door Car,2
54,14325.15261,Extended,Bachelor,Unemployed,M,0,Suburban,Married,136,30,75,0,2,Personal Auto,Personal L2,Offer1,Agent,652.8,SUV,2
55,7367.653764,Basic,High School or Below,Employed,F,25318,Suburban,Married,63,4,8,2,2,Personal Auto,Personal L2,Offer2,Call Center,302.4,Four-Door Car,3
56,8278.786492,Premium,High School or Below,Unemployed,F,0,Suburban,Married,110,20,66,0,7,Personal Auto,Personal L3,Offer1,Agent,1002.782553,Four-Door Car,2
58,8161.781091,Basic,High School or Below,Employed,F,45270,Rural,Single,70,11,63,0,2,Personal Auto,Personal L3,Offer4,Call Center,46.053458,Two-Door Car,2
60,7180.971028,Basic,College,Employed,F,42303,Suburban,Married,180,24,66,0,1,Personal Auto,Personal L2,Offer2,Agent,1210.920949,Luxury SUV,2
61,2515.411468,Basic,College,Employed,M,39718,Suburban,Married,65,1,55,2,1,Personal Auto,Personal L3,Offer1,Web,366.531664,Four-Door Car,2
62,5433.214031,Basic,Bachelor,Employed,F,29629,Urban,Married,71,21,51,4,5,Special Auto,Special L1,Offer1,Agent,228.443418,Four-Door Car,2
63,6952.651187,Basic,College,Unemployed,F,0,Suburban,Single,73,2,38,3,2,Corporate Auto,Corporate L1,Offer2,Agent,525.6,Four-Door Car,2
64,5354.365535,Basic,High School or Below,Disabled,F,17099,Suburban,Married,0,13,28,0,9,Personal Auto,Personal L2,Offer1,Web,331.2,Four-Door Car,3
65,10682.7619,Extended,Master,Employed,M,52965,Rural,Married,134,6,77,3,4,Personal Auto,Personal L3,Offer4,Agent,83.815183,SUV,2
66,2254.931708,Basic,High School or Below,Unemployed,F,0,Suburban,Single,63,0,14,0,1,Personal Auto,Corporate L3,Offer2,Call Center,345.6,Two-Door Car,2
67,7540.584824,Basic,Bachelor,Employed,M,29697,Rural,Married,64,6,43,0,2,Personal Auto,Personal L2,Offer3,Agent,147.128736,Four-Door Car,2
68,4874.0748,Basic,High School or Below,Unemployed,M,0,Suburban,Single,68,10,36,0,7,Corporate Auto,Personal L3,Offer4,Call Center,609.323227,Two-Door Car,2
69,5507.063242,Basic,Master,Unemployed,F,0,Suburban,Married,71,3,38,0,3,Personal Auto,Personal L3,Offer1,Branch,340.8,Four-Door Car,2
70,4035.769432,Basic,Bachelor,Unemployed,F,0,Suburban,Single,119,28,74,0,1,Corporate Auto,Corporate L3,Offer2,Agent,813.6,SUV,2
71,3045.05813,Extended,High School or Below,Employed,F,53441,Suburban,Married,76,11,78,0,1,Personal Auto,Personal L3,Offer4,Agent,364.8,Two-Door Car,2
72,5893.368906,Basic,Bachelor,Employed,F,86498,Rural,Married,74,13,13,1,5,Personal Auto,Personal L2,Offer3,Agent,8.529778,Two-Door Car,2
73,5150.416511,Extended,Bachelor,Employed,F,35666,Rural,Divorced,130,6,6,0,1,Personal Auto,Personal L3,Offer1,Branch,0.517753,Sports Car,2
75,5047.483378,Basic,Bachelor,Employed,M,81741,Urban,Single,64,10,94,0,8,Corporate Auto,Corporate L2,Offer1,Agent,186.448395,Four-Door Car,2
79,3933.813993,Basic,High School or Below,Employed,M,25927,Suburban,Single,0,6,20,0,1,Personal Auto,Personal L3,Offer2,Web,674.973614,SUV,2
80,5504.139033,Basic,Bachelor,Unemployed,F,0,Suburban,Married,73,18,45,0,5,Personal Auto,Personal L2,Offer1,Call Center,350.4,Four-Door Car,2
82,7919.832069,Basic,Master,Unemployed,M,0,Suburban,Married,70,13,18,0,2,Personal Auto,Personal L1,Offer1,Agent,336,Four-Door Car,2
83,4745.181764,Basic,High School or Below,Employed,M,50549,Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,2
85,23984.62144,Premium,Doctor,Employed,F,79655,Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury Car,2
86,16473.16905,Basic,Bachelor,Retired,M,22828,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,2
87,3874.86854,Basic,College,Employed,M,47199,Rural,Married,0,33,91,0,1,Corporate Auto,Personal L3,Offer1,Agent,162.199584,Sports Car,2
89,2287.59692,Basic,High School or Below,Unemployed,M,0,Suburban,Married,63,1,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,679.368378,Two-Door Car,2
90,26413.54751,Extended,College,Employed,M,49078,Rural,Single,83,15,16,0,2,Personal Auto,Personal L3,Offer2,Branch,56.371967,Four-Door Car,2
92,7606.70898,Extended,Bachelor,Employed,F,47778,Rural,Married,96,2,81,0,7,Personal Auto,Personal L3,Offer2,Call Center,173.80879,Four-Door Car,2
93,6997.008618,Extended,Master,Employed,M,25411,Suburban,Single,92,17,46,0,3,Corporate Auto,Corporate L3,Offer4,Call Center,413.492922,Four-Door Car,2
94,5697.175238,Basic,Bachelor,Employed,M,68342,Urban,Divorced,72,7,59,0,6,Corporate Auto,Corporate L3,Offer2,Web,329.013275,Two-Door Car,2
95,2561.576924,Basic,Doctor,Employed,M,79751,Suburban,Married,65,15,71,0,1,Personal Auto,Personal L3,Offer3,Call Center,468,Two-Door Car,3
96,4039.315002,Basic,College,Employed,F,34911,Rural,Divorced,105,6,31,1,1,Personal Auto,Personal L3,Offer4,Agent,126.779673,SUV,1
99,2668.662697,Basic,College,Employed,M,56342,Suburban,Single,67,7,89,0,1,Personal Auto,Personal L1,Offer2,Call Center,336,Four-Door Car,2
101,2956.358303,Basic,Master,Employed,F,83318,Rural,Married,0,0,33,0,1,Corporate Auto,Corporate L3,Offer4,Branch,51.822348,Two-Door Car,2
102,3843.965188,Extended,Bachelor,Employed,M,43987,Suburban,Married,96,29,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,460.8,Four-Door Car,2
103,2971.919417,Basic,Bachelor,Medical Leave,M,19464,Suburban,Single,0,25,50,0,1,Corporate Auto,Corporate L2,Offer1,Branch,790.784983,Four-Door Car,2
104,2506.263939,Basic,Master,Medical Leave,F,17193,Suburban,Divorced,66,4,3,0,1,Corporate Auto,Corporate L3,Offer1,Web,316.8,Four-Door Car,2
105,26453.93512,Extended,College,Employed,M,42961,Suburban,Married,83,24,16,0,2,Personal Auto,Personal L2,Offer2,Web,398.4,Four-Door Car,2
106,4836.054291,Basic,College,Unemployed,F,0,Suburban,Single,69,12,89,0,8,Personal Auto,Personal L1,Offer1,Agent,632.081402,Four-Door Car,3
107,2957.102851,Basic,College,Employed,M,94362,Urban,Divorced,74,21,96,0,1,Personal Auto,Personal L2,Offer1,Agent,195.405949,Two-Door Car,1
108,17788.05705,Extended,Doctor,Employed,M,73339,Rural,Divorced,89,34,13,0,2,Personal Auto,Personal L3,Offer2,Agent,17.558721,Four-Door Car,2
109,11880.96623,Premium,High School or Below,Unemployed,F,0,Suburban,Single,114,29,96,0,2,Personal Auto,Personal L3,Offer1,Branch,820.8,Four-Door Car,2
111,2444.741307,Basic,College,Unemployed,M,0,Urban,Married,71,8,59,1,1,Personal Auto,Personal L2,Offer3,Branch,244.587596,Four-Door Car,2
114,3657.585449,Extended,High School or Below,Medical Leave,M,18052,Suburban,Married,96,27,21,0,1,Personal Auto,Personal L3,Offer2,Web,451.2,Four-Door Car,1
116,18089.79629,Basic,Master,Employed,F,68568,Suburban,Married,223,5,28,1,6,Personal Auto,Personal L3,Offer4,Branch,1070.4,Luxury Car,2
117,2541.522907,Basic,Master,Disabled,F,28898,Suburban,Divorced,65,7,8,0,1,Personal Auto,Personal L3,Offer3,Web,316.8,Four-Door Car,2
119,8041.20055,Basic,High School or Below,Employed,M,44986,Suburban,Married,101,14,83,0,3,Corporate Auto,Corporate L1,Offer1,Call Center,624.023564,SUV,2
120,4389.945709,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,118,10,69,1,1,Personal Auto,Personal L3,Offer1,Branch,670.656551,SUV,2
121,8545.608946,Basic,Bachelor,Employed,M,35456,Urban,Married,109,14,58,0,6,Personal Auto,Personal L1,Offer3,Agent,505.082702,Sports Car,2
123,9050.756606,Basic,College,Employed,M,42743,Suburban,Married,114,1,77,0,6,Corporate Auto,Corporate L2,Offer1,Branch,542.4,Four-Door Car,3
124,3790.190029,Extended,High School or Below,Employed,M,66169,Rural,Married,96,35,30,1,1,Personal Auto,Personal L2,Offer4,Web,156.429591,Two-Door Car,3
125,8662.048958,Basic,College,Unemployed,F,0,Urban,Married,117,0,65,0,4,Personal Auto,Personal L3,Offer3,Call Center,511.422666,SUV,2
126,5741.696078,Basic,Master,Employed,F,29460,Urban,Married,72,21,50,0,5,Personal Auto,Personal L3,Offer4,Web,328.65413,Two-Door Car,2
129,8709.845263,Premium,Bachelor,Employed,F,41546,Rural,Divorced,111,4,47,0,3,Personal Auto,Corporate L1,Offer1,Call Center,121.306839,Four-Door Car,2
130,6021.842473,Premium,High School or Below,Unemployed,F,0,Suburban,Single,168,11,46,0,1,Personal Auto,Personal L3,Offer1,Agent,1476.670903,SUV,2
131,4282.947971,Basic,College,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,2
134,3136.698216,Extended,College,Employed,M,59644,Suburban,Married,79,15,94,0,1,Corporate Auto,Corporate L3,Offer1,Agent,379.2,Four-Door Car,2
135,3703.404606,Basic,Bachelor,Unemployed,M,0,Suburban,Single,109,22,5,0,1,Personal Auto,Personal L3,Offer1,Agent,784.8,SUV,3
137,4775.475851,Extended,High School or Below,Disabled,F,14254,Suburban,Married,124,21,16,0,1,Corporate Auto,Corporate L1,Offer3,Branch,595.2,SUV,1
138,2885.002508,Basic,College,Employed,M,77748,Rural,Married,72,7,7,0,1,Personal Auto,Personal L3,Offer2,Branch,22.569825,Four-Door Car,2
139,14206.98091,Basic,College,Disabled,F,26056,Suburban,Married,73,17,73,0,2,Personal Auto,Personal L3,Offer1,Branch,355.558088,Four-Door Car,2
140,6243.089247,Extended,College,Employed,M,73945,Urban,Married,78,21,76,0,8,Personal Auto,Personal L3,Offer2,Web,330.872532,Two-Door Car,2
141,9075.768214,Basic,Master,Employed,M,37722,Rural,Single,116,8,23,0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,2
142,5947.215835,Basic,College,Employed,F,67760,Suburban,Married,74,19,19,0,3,Special Auto,Special L3,Offer4,Branch,465.278453,Four-Door Car,2
143,12296.49757,Basic,College,Employed,M,33760,Suburban,Married,105,5,80,0,2,Personal Auto,Personal L3,Offer1,Agent,504,Sports Car,3
144,4282.947971,Basic,College,Employed,M,49746,Suburban,Married,109,16,61,0,1,Personal Auto,Personal L2,Offer1,Branch,780.378964,SUV,2
146,2365.348601,Basic,Bachelor,Unemployed,F,0,Rural,Married,0,25,51,2,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,2
147,2162.417356,Basic,College,Unemployed,F,0,Suburban,Single,66,18,95,2,1,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,2
149,8879.790017,Basic,High School or Below,Employed,F,52583,Urban,Single,113,12,59,0,7,Personal Auto,Personal L3,Offer1,Agent,528.20086,SUV,3
150,2661.729688,Basic,Bachelor,Medical Leave,F,24152,Suburban,Married,72,17,28,2,1,Personal Auto,Personal L2,Offer3,Branch,345.6,Four-Door Car,1
151,4636.54647,Basic,College,Retired,M,26802,Suburban,Married,0,7,43,1,5,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,2
152,7761.267839,Extended,College,Employed,F,43137,Suburban,Married,0,8,41,0,8,Personal Auto,Personal L3,Offer2,Call Center,460.8,Two-Door Car,1
153,22103.5072,Basic,College,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Corporate Auto,Corporate L3,Offer1,Branch,489.6,SUV,2
155,5443.761524,Basic,High School or Below,Employed,F,41449,Suburban,Married,69,16,96,1,3,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,2
156,14866.45116,Extended,High School or Below,Employed,F,24279,Suburban,Married,126,16,97,0,2,Personal Auto,Personal L2,Offer2,Branch,604.8,Sports Car,2
158,12981.52926,Premium,College,Employed,M,30763,Rural,Single,0,25,29,0,2,Personal Auto,Personal L3,Offer1,Branch,133.735395,Four-Door Car,2
160,2574.020376,Basic,Master,Employed,F,34990,Rural,Single,65,23,73,0,1,Personal Auto,Personal L3,Offer2,Web,42.689135,Four-Door Car,2
162,5013.136429,Extended,High School or Below,Employed,M,65165,Suburban,Married,126,14,18,1,1,Personal Auto,Personal L1,Offer2,Web,604.8,SUV,2
163,6698.974274,Basic,College,Disabled,F,21114,Suburban,Single,180,7,59,0,1,Personal Auto,Personal L3,Offer1,Call Center,864,Luxury Car,2
164,6503.397049,Extended,High School or Below,Disabled,F,22081,Suburban,Married,84,1,9,0,6,Special Auto,Special L3,Offer1,Agent,451.670309,Two-Door Car,3
165,4788.932598,Basic,High School or Below,Employed,M,44279,Suburban,Married,61,19,81,0,7,Corporate Auto,Corporate L3,Offer2,Web,400.294938,Two-Door Car,1
167,5414.320958,Basic,Doctor,Unemployed,M,0,Rural,Married,70,14,57,0,4,Special Auto,Special L2,Offer2,Call Center,40.752864,Two-Door Car,2
168,6803.596768,Premium,High School or Below,Employed,M,43758,Suburban,Married,0,16,29,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,1129.929433,SUV,2
170,2759.978287,Basic,Bachelor,Employed,M,92296,Suburban,Married,69,4,65,0,1,Corporate Auto,Corporate L2,Offer2,Agent,331.2,Two-Door Car,2
171,4307.464888,Basic,Bachelor,Unemployed,M,0,Suburban,Single,62,27,14,0,3,Personal Auto,Personal L1,Offer3,Branch,434.26667,Two-Door Car,2
172,21343.46599,Basic,Bachelor,Unemployed,M,0,Suburban,Married,65,31,16,0,2,Special Auto,Special L2,Offer1,Agent,312,Two-Door Car,2
173,24061.11048,Basic,High School or Below,Employed,M,76358,Rural,Divorced,63,31,72,0,2,Personal Auto,Personal L3,Offer2,Agent,78.189401,Four-Door Car,2
174,5107.163002,Basic,Bachelor,Employed,F,35625,Urban,Married,65,10,56,1,3,Personal Auto,Personal L3,Offer2,Agent,288.572108,Four-Door Car,2
175,8283.066678,Extended,College,Disabled,M,20545,Suburban,Married,239,29,96,1,1,Personal Auto,Personal L3,Offer1,Call Center,1065.6,Luxury Car,2
177,7259.328982,Extended,College,Medical Leave,M,16367,Suburban,Married,94,2,99,0,9,Personal Auto,Personal L3,Offer1,Branch,515.569363,Four-Door Car,2
178,4772.931526,Extended,High School or Below,Medical Leave,M,15323,Suburban,Married,128,30,61,0,1,Personal Auto,Personal L3,Offer1,Agent,614.4,SUV,2
180,2840.302575,Extended,College,Employed,F,20368,Suburban,Single,0,24,76,0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,2
181,8646.547993,Extended,Bachelor,Employed,M,25964,Suburban,Married,76,21,87,2,2,Corporate Auto,Corporate L3,Offer1,Branch,364.8,Four-Door Car,2
182,8708.018769,Extended,Master,Unemployed,M,0,Suburban,Single,128,7,26,3,7,Corporate Auto,Corporate L3,Offer1,Call Center,1051.2,SUV,2
183,7995.441263,Basic,High School or Below,Employed,F,66685,Rural,Married,67,35,50,2,2,Personal Auto,Personal L2,Offer2,Call Center,38.763897,Two-Door Car,1
186,3436.134281,Extended,Doctor,Medical Leave,M,22664,Suburban,Married,92,4,7,0,1,Personal Auto,Personal L2,Offer4,Agent,568.58486,Four-Door Car,2
187,2616.409509,Basic,Bachelor,Disabled,M,22000,Suburban,Married,69,27,36,0,1,Personal Auto,Personal L3,Offer2,Web,383.224514,Two-Door Car,2
188,17420.56565,Premium,High School or Below,Employed,F,65348,Rural,Married,0,9,92,0,9,Personal Auto,Personal L2,Offer1,Agent,12.252847,SUV,3
189,3307.99904,Extended,Bachelor,Employed,M,79797,Rural,Divorced,84,27,46,0,1,Corporate Auto,Corporate L2,Offer4,Branch,31.755601,Two-Door Car,2
190,9415.901707,Extended,High School or Below,Unemployed,M,0,Suburban,Single,133,4,58,0,3,Special Auto,Special L2,Offer2,Agent,1361.993232,Sports Car,3
191,23706.11337,Extended,High School or Below,Unemployed,F,0,Suburban,Single,96,12,35,1,2,Personal Auto,Personal L1,Offer3,Branch,844.481918,Two-Door Car,2
192,7462.926263,Extended,College,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L2,Offer2,Call Center,7.345946,Two-Door Car,3
193,10656.88195,Extended,Bachelor,Employed,F,72540,Suburban,Married,88,7,3,0,2,Personal Auto,Personal L2,Offer2,Call Center,631.743039,Two-Door Car,2
195,11923.75365,Premium,High School or Below,Employed,F,24581,Suburban,Married,101,2,86,0,2,Personal Auto,Personal L3,Offer1,Branch,484.8,Four-Door Car,2
196,2859.40857,Basic,Bachelor,Employed,F,51790,Suburban,Married,71,12,43,0,1,Personal Auto,Personal L3,Offer2,Agent,340.8,Four-Door Car,1
197,6051.799036,Extended,College,Employed,M,20396,Suburban,Married,76,26,2,1,4,Corporate Auto,Corporate L3,Offer1,Web,350.4,Four-Door Car,2
198,7583.141211,Basic,Bachelor,Employed,F,44667,Urban,Single,65,25,53,0,2,Corporate Auto,Personal L2,Offer1,Web,245.661376,Four-Door Car,2
200,3133.018242,Extended,Bachelor,Unemployed,F,0,Suburban,Single,91,7,14,1,1,Personal Auto,Personal L2,Offer1,Call Center,655.2,Four-Door Car,2
202,4698.88415,Basic,Master,Employed,F,80358,Urban,Married,116,19,2,0,1,Personal Auto,Personal L3,Offer4,Agent,443.637243,SUV,1
203,2359.423599,Basic,Bachelor,Disabled,F,19864,Suburban,Divorced,63,22,96,0,1,Personal Auto,Personal L3,Offer1,Web,352.394515,Four-Door Car,2
204,7780.999262,Basic,Bachelor,Unemployed,M,0,Urban,Married,74,0,52,0,2,Personal Auto,Personal L1,Offer1,Branch,246.489123,Four-Door Car,2
205,4969.35768,Basic,High School or Below,Employed,F,93416,Suburban,Single,63,18,1,0,3,Personal Auto,Personal L2,Offer2,Web,307.2,Four-Door Car,1
206,4966.736817,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,9,83,0,6,Personal Auto,Personal L3,Offer2,Call Center,525.6,Two-Door Car,3
211,4697.152892,Basic,High School or Below,Unemployed,F,0,Suburban,Single,67,10,75,0,7,Special Auto,Special L2,Offer2,Branch,482.4,Four-Door Car,2
212,4330.38602,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,2
213,3372.420457,Extended,High School or Below,Employed,F,93489,Rural,Divorced,84,16,72,0,1,Corporate Auto,Corporate L3,Offer2,Agent,104.280764,Four-Door Car,2
216,3188.53073,Extended,High School or Below,Employed,F,81081,Urban,Married,79,20,25,0,1,Corporate Auto,Personal L3,Offer2,Agent,224.888004,Two-Door Car,2
217,8257.014532,Basic,High School or Below,Employed,F,20072,Suburban,Married,70,26,34,0,2,Personal Auto,Personal L3,Offer2,Agent,487.814322,Four-Door Car,2
218,5037.953998,Basic,High School or Below,Unemployed,M,0,Suburban,Married,68,28,23,1,9,Personal Auto,Personal L2,Offer3,Web,326.4,Four-Door Car,2
219,5548.031892,Basic,Bachelor,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,2
220,2735.538859,Basic,College,Employed,F,99205,Urban,Married,68,7,21,0,1,Personal Auto,Personal L2,Offer2,Branch,323.246017,Two-Door Car,2
221,4669.22664,Premium,High School or Below,Employed,F,76157,Suburban,Married,116,15,80,0,1,Personal Auto,Personal L1,Offer2,Call Center,556.8,Two-Door Car,3
223,3593.12645,Extended,College,Disabled,F,18213,Suburban,Divorced,96,12,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,1
224,5227.570224,Basic,High School or Below,Employed,F,70988,Suburban,Married,65,3,82,0,7,Personal Auto,Personal L1,Offer3,Web,312,Four-Door Car,2
226,38410.59556,Basic,Bachelor,Employed,F,71644,Suburban,Married,105,19,83,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,504,SUV,2
227,4915.39018,Basic,Bachelor,Disabled,M,18174,Suburban,Married,65,9,0,0,3,Corporate Auto,Corporate L2,Offer4,Branch,433.160284,Four-Door Car,2
229,9192.592887,Basic,High School or Below,Employed,M,37388,Suburban,Married,117,30,21,0,5,Corporate Auto,Corporate L1,Offer4,Branch,561.6,SUV,2
235,16525.38067,Basic,College,Employed,F,78374,Suburban,Married,0,28,92,0,2,Personal Auto,Personal L3,Offer2,Agent,374.4,Four-Door Car,2
236,5500.01251,Extended,High School or Below,Employed,F,86073,Rural,Married,136,3,32,0,1,Corporate Auto,Corporate L3,Offer4,Agent,333.5671,Sports Car,2
237,15374.18296,Extended,Bachelor,Employed,F,42570,Urban,Married,128,5,52,0,2,Personal Auto,Personal L2,Offer2,Agent,587.409205,SUV,1
238,4996.552721,Basic,High School or Below,Employed,M,71600,Rural,Married,63,17,43,0,7,Personal Auto,Personal L2,Offer2,Call Center,46.158117,Two-Door Car,2
240,4982.681374,Basic,High School or Below,Employed,F,52275,Suburban,Married,62,6,88,0,5,Corporate Auto,Corporate L3,Offer3,Branch,374.240783,Four-Door Car,2
241,6013.038073,Extended,College,Unemployed,F,0,Suburban,Single,84,8,30,0,7,Personal Auto,Personal L1,Offer3,Agent,604.8,Four-Door Car,3
242,4686.469674,Basic,College,Employed,M,58089,Suburban,Married,118,31,83,0,1,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,2
243,2439.930981,Basic,College,Employed,F,50876,Urban,Married,61,13,60,0,1,Personal Auto,Personal L2,Offer1,Agent,171.248196,Four-Door Car,2
