,Country,MIN_AGE,MAX_AGE,NumHouseChildren,NumMaleChildrenHousehold,NumFemaleChildrenHousehold,Units,Units7,Units30,Units90,Units180,Units360,FrequencyLF,FrequencyApp,FreqGamePlay,FrequencyLF7,FrequencyApp7,FreqGamePlay7,FrequencyLF30,FrequencyApp30,FreqGamePlay30,FrequencyLF90,FrequencyApp90,FreqGamePlay90,FrequencyLF180,FrequencyApp180,FreqGamePlay180,FrequencyLF360,FrequencyApp360,FreqGamePlay360,TotalRevenueGenerated,Revenue7,Revenue30,Revenue90,Revenue180,Revenue360,TotalTimeGamePlay,TotalTimeGamePlay7,TotalTimeGamePlay30,TotalTimeGamePlay90,TotalTimeGamePlay180,TotalTimeGamePlay360,NumGamesBought,NumGamesPlayed,NumGamesPlayed7,NumGamesPlayed30,NumGamesPlayed90,NumGamesPlayed180,NumGamesPlayed360,RecencyApp,RecencyApp7,RecencyApp30,RecencyApp90,RecencyApp180,RecencyApp360,RecencyLF,RecencyLF7,RecencyLF30,RecencyLF90,RecencyLF180,RecencyLF360,Recencydown,Recencydown7,Recencydown30,Recencydown90,Recencydown180,Recencydown360,maxRecencyCum,minRecencyCum,maxRecencyCum7,minRecencyCum7,maxRecencyCum30,minRecencyCum30,maxRecencyCum90,minRecencyCum90,maxRecencyCum180,minRecencyCum180,maxRecencyCum360,minRecencyCum360,FavSourceBin,FavChannelBin,FavChannel7Bin,FavSource7Bin,FavChannel30Bin,FavSource30Bin,FavChannel90Bin,FavSource90Bin,FavChannel180Bin,FavSource180Bin,FavChannel360Bin,FavSource360Bin,FavGameBin,FavGame7Bin,FavGame30Bin,FavGame90Bin,FavGame180Bin,FavGame360Bin,StrengthOfFavoriteGame,TenureDays
Units180,0.035031624,0.01431311,0.043531819,0.143421429,0.082846334,0.074769012,0.438344309,0.52512345,0.736597987,0.909650253,1,0.674606464,0.12951007,0.406275194,0.259365391,0.121433196,0.489028958,0.118879153,0.244255731,0.681215839,0.196805567,0.327478047,0.853543956,0.3013037,0.346082864,0.948603485,0.339118893,0.142688737,0.662195095,0.344272863,0.360964031,0.481332501,0.682365679,0.834010471,0.926430956,0.438216683,0.082746612,0.014905253,0.033154007,0.049543707,0.072680075,0.09676167,0.406275194,0.395608273,0.190777268,0.353390397,0.456667436,0.495466486,0.466269359,0.262653522,0.381039715,0.463496442,0.4885679,0.498796877,0.482928877,0.233403486,0.108076076,0.198358563,0.273810533,0.310112468,0.289744359,0.037144255,0.234771266,0.283005104,0.2999038,0.301498048,0.249071692,0.368071332,0.064835952,0.398464806,0.384134063,0.492765534,0.453966376,0.536263136,0.472542628,0.556177451,0.485422253,0.53623177,0.385681551,0.115987797,-0.060888372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199162893,NA,NA,-0.08357492,-0.017436596,0.083413494,0.154628879,-0.276198371
Units360,0.134212682,0.011414502,0.049948681,0.169432937,0.094291319,0.091970377,0.628311763,0.339816717,0.481258717,0.603534679,0.674606464,1,0.392703857,0.515589652,0.241064588,0.079328219,0.314044733,0.080100811,0.158248749,0.448041513,0.131535576,0.220103918,0.568667046,0.206368105,0.236515676,0.640700704,0.243435398,0.427287483,0.889705807,0.318562041,0.626509982,0.310149942,0.445474312,0.554610995,0.627250539,0.771158767,0.078840985,0.007121308,0.019641087,0.036191652,0.054652038,0.093305411,0.515589652,0.369168855,0.134735982,0.249340407,0.321674457,0.357644854,0.419027796,0.115068556,0.240896574,0.294813124,0.311006803,0.315511482,0.231666649,0.319331644,0.068641828,0.135724339,0.193401917,0.219780099,0.253579303,0.040803855,0.148115531,0.182564168,0.197328873,0.199241141,0.146475938,0.222033418,0.083120745,0.252629054,0.242931813,0.317329669,0.291024629,0.34959941,0.306412244,0.363221182,0.314977267,0.304994013,0.175732892,0.203925737,0.164986472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229109372,-0.149558175,-0.123629437,-0.05143733,0.001736526,0.048156767,0.16569662,-0.24048803
FrequencyLF,0.647706047,0.005269664,0.028778866,0.055929813,0.028204198,0.033330214,0.309140926,0.026170532,0.092760772,0.128537776,0.12951007,0.392703857,1,-0.007579346,0.044050412,0.110628359,0.004057141,0.00645039,0.254062147,0.0129271,0.019292618,0.35377459,0.029786166,0.03948077,0.399014214,0.033335886,0.044362372,0.928670826,0.015049597,0.05238758,0.68542527,0.050251191,0.135023999,0.194075859,0.198628949,0.723186323,0.02204943,-0.000960872,0.003188949,0.003959938,0.006915303,0.028114945,-0.007579346,0.079455296,0.017016162,0.043350879,0.061697344,0.069299513,0.076424621,-0.101766446,0.001116802,0.003280638,0.006910886,0.005270019,-0.005012648,0.624022541,0.083638904,0.169016322,0.243030813,0.290552936,0.39107075,-0.020630846,-0.004588557,-0.001155486,0.001633176,0.002280397,0.000718643,0.136952113,0.014830017,0.007835185,0.007092721,0.024728633,0.019499408,0.050952785,0.040416591,0.067696401,0.05768845,0.106170943,0.028439583,0.248314847,NA,0.00098031,-0.004620047,-0.007437689,-0.011400537,-0.011493187,-0.022392024,-0.008219125,-0.018011181,0.044221181,0.04583687,0.10416693,0.017869154,0.014545201,0.036600594,0.046325789,0.05849955,0.064696567,-0.309040083
FrequencyApp,0.066412814,-0.022962452,0.027826567,0.164801834,0.107151215,0.073758224,0.913072353,0.213363445,0.28491198,0.354989711,0.406275194,0.515589652,-0.007579346,1,0.271903681,0.014389618,0.218374532,0.043181398,0.034565604,0.30388318,0.068880399,0.042191851,0.377420699,0.108303209,0.036566653,0.430823043,0.134463279,-0.022003908,0.599525573,0.188957039,0.554895742,0.185181213,0.248290246,0.300922906,0.350711845,0.249071489,0.07311174,0.002299689,0.008261887,0.017342058,0.029958444,0.051161974,1,0.411320129,0.089660975,0.155084653,0.198099852,0.224204179,0.272035585,-0.133246434,0.126084328,0.147302011,0.141758679,0.127871926,0.06638592,-5.87E-05,0.015322497,0.036525339,0.051341554,0.051554657,0.031453969,0.025309659,0.075069437,0.09162432,0.099150113,0.100136314,0.077662541,-0.071694437,-0.232525459,0.124904838,0.118670519,0.152344812,0.136040448,0.154160049,0.126702178,0.14550745,0.112283472,0.085656786,0.052028877,0.048624834,-0.726036131,-0.180969222,NA,-0.18460823,NA,-0.176398233,NA,-0.165363182,NA,-0.164891727,-0.307082591,0.176737614,-0.082146857,-0.065872688,-0.010375984,0.026790623,0.049577849,0.158369331,-0.022781709
FreqGamePlay,0.042511046,-0.002238446,0.033850385,0.166428905,0.13220177,0.050087847,0.28470622,0.117917576,0.171698973,0.224508559,0.259365391,0.241064588,0.044050412,0.271903681,1,0.011953106,0.111154301,0.172697547,0.033647254,0.162897394,0.33962984,0.049528078,0.217263074,0.496311235,0.052824371,0.251963521,0.603923706,0.037730004,0.240418194,0.744744089,0.21615324,0.098710022,0.145874174,0.190152119,0.226648694,0.149214762,0.133779969,0.005807327,0.023860195,0.043244294,0.073677233,0.099518713,0.271903681,0.651227282,0.174669348,0.300830541,0.410277632,0.476056508,0.546072462,-0.016007822,0.114801123,0.141607381,0.170543678,0.1739179,0.164445879,0.066409118,0.01741921,0.051619284,0.067949266,0.074384195,0.071947068,0.018921589,0.056380785,0.071162254,0.077274252,0.078101267,0.055031635,0.072752604,-0.154238643,0.119737672,0.118480002,0.154108331,0.145937167,0.184105463,0.170181602,0.188957749,0.168428465,0.172998117,0.107800791,0.053674813,-0.18071375,-0.151608759,-0.162690446,-0.178923833,-0.208932398,-0.21276319,-0.258793562,-0.224430114,-0.286791513,-0.137628629,-0.213283202,0.299189859,-0.121880851,-0.082507136,-0.001301537,0.058050057,0.142737092,0.234954998,-0.061943022
FrequencyLF7,NA,0.003812684,0.000495997,0.004035909,0.011355536,-0.007072884,0.043863259,0.238619864,0.170773714,0.147461207,0.121433196,0.079328219,0.110628359,0.014389618,0.011953106,1,0.039610229,0.014686173,0.407401911,0.04366041,0.018267305,0.29901908,0.073823668,0.035812818,0.269569765,0.064112254,0.031429968,0.12417116,0.037456292,0.027095726,0.072085421,0.477166584,0.311411852,0.22401237,0.184318126,0.093039596,0.007769301,0.000900873,0.014099393,0.013079534,0.014654779,0.011421184,0.014389618,0.02844771,0.027802251,0.047055328,0.062202554,0.053918555,0.044410248,0.034096383,0.038473573,0.026608684,0.031459449,0.039255805,0.035187998,0.227999243,0.77258177,0.644782867,0.459646422,0.37992666,0.26872788,0.012313639,0.0215719,0.033069983,0.038273512,0.039198454,0.038293053,0.129044096,0.012989181,0.137826289,0.12293693,0.132914728,0.111546101,0.118549737,0.095311754,0.10937744,0.090492134,0.092143869,0.064503284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.273145282
FrequencyApp7,NA,0.006861576,0.019923376,0.076389596,0.02439474,0.059888689,0.202116882,0.946940746,0.676549062,0.560427125,0.489028958,0.314044733,0.004057141,0.218374532,0.111154301,0.039610229,1,0.132398587,0.030096616,0.750003663,0.122062554,0.032764368,0.624520673,0.142375619,0.028092972,0.537027884,0.144917625,0.007393745,0.354718018,0.154754348,0.144507811,0.820315975,0.580910238,0.46555282,0.41319552,0.181530543,0.056590177,0.039373455,0.047463006,0.053089298,0.060290686,0.069516002,0.218374532,0.184847055,0.209769452,0.25006475,0.255408919,0.23897426,0.215075226,0.206425164,0.643932296,0.61045708,0.494362891,0.434833785,0.341543167,0.042008372,0.046321316,0.061915395,0.06559182,0.062974725,0.056608832,0.028288953,0.276460277,0.261549554,0.238925982,0.231651156,0.200474417,0.21506818,0.059929104,0.562719939,0.541767663,0.542670186,0.537450112,0.453117404,0.445883156,0.40569207,0.398274413,0.333124028,0.256974308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.058993737
FreqGamePlay7,NA,0.002798967,0.010783051,0.051444442,0.024839085,0.031779152,0.042338042,0.147504167,0.119556231,0.118818317,0.118879153,0.080100811,0.00645039,0.043181398,0.172697547,0.014686173,0.132398587,1,0.007315144,0.115703625,0.486260638,0.01238441,0.116830873,0.370736564,0.009836004,0.116918537,0.301891525,0.007642108,0.082626662,0.23660086,0.037170133,0.121432842,0.099162858,0.097025963,0.100266056,0.051868971,0.03319686,0.03870208,0.042491636,0.037884326,0.044895091,0.039312718,0.043181398,0.178595528,0.515161448,0.37208161,0.293497131,0.261139335,0.214312309,0.072872835,0.142935222,0.167047516,0.148242276,0.14152274,0.122750359,0.032234659,0.019672102,0.02449754,0.028662759,0.031839269,0.034334228,0.011421471,0.083103206,0.077194909,0.068792357,0.066250539,0.034590995,0.089527753,0.019587232,0.150713603,0.143845621,0.170405675,0.166443789,0.154101918,0.143399452,0.145870307,0.138229402,0.123745493,0.090590281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.035367718
FrequencyLF30,NA,-0.002073464,0.003072598,0.022528921,0.008807122,0.016022577,0.106872532,0.116440887,0.371123317,0.289976723,0.244255731,0.158248749,0.254062147,0.034565604,0.033647254,0.407401911,0.030096616,0.007315144,1,0.058075844,0.02828787,0.747706509,0.079387424,0.043602639,0.676957643,0.083089979,0.041455597,0.273077552,0.056734132,0.045650499,0.137501448,0.208571032,0.546778475,0.380409981,0.323430132,0.157404547,0.051631614,0.000367949,0.007703737,0.008459031,0.010669627,0.065231101,0.034565604,0.065279977,0.021212407,0.071710042,0.097786161,0.083887444,0.076262709,0.012603012,0.021734996,0.032210164,0.046138059,0.047234631,0.03653421,0.39444255,0.318061697,0.623013948,0.677518598,0.618290188,0.496059758,0.010590054,0.026173598,0.04420129,0.056495599,0.058953314,0.056237681,0.209667075,0.017066714,0.072229611,0.0662003,0.133520897,0.106580292,0.177941139,0.152550994,0.179504437,0.154737878,0.167067751,0.109533502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.465967942
FrequencyApp30,0.006305597,0.008231121,0.027547963,0.107550953,0.051069229,0.06731273,0.285887728,0.721982838,0.91396132,0.760352226,0.681215839,0.448041513,0.0129271,0.30388318,0.162897394,0.04366041,0.750003663,0.115703625,0.058075844,1,0.186741383,0.053616327,0.838524714,0.209088413,0.050541494,0.739952666,0.206378318,0.018471686,0.497375223,0.222563552,0.209039274,0.625201631,0.778882322,0.624665245,0.574813488,0.26197409,0.059252463,0.027609739,0.045715545,0.051165126,0.062183454,0.071178331,0.30388318,0.264062704,0.188665438,0.346105036,0.35255131,0.339011821,0.314275217,0.258142112,0.508475993,0.61214768,0.614663732,0.549662503,0.437338517,0.06525049,0.046069116,0.086031377,0.095849739,0.092623315,0.087731818,0.046011378,0.268148186,0.312814155,0.320683597,0.319973007,0.272927507,0.278420626,0.072641544,0.480720769,0.463462307,0.578418549,0.535672076,0.575138001,0.552203568,0.526851143,0.501696827,0.44302523,0.324624421,0.08252789,-0.288824481,NA,NA,NA,NA,NA,-0.697642185,NA,-0.659231244,NA,-0.605819271,0.138599285,NA,NA,-0.089689286,-0.027502174,0.051531232,0.10643878,-0.087895753
FreqGamePlay30,NA,0.003206892,0.020244695,0.07649822,0.045892769,0.03814738,0.070776541,0.131487103,0.194901517,0.198346171,0.196805567,0.131535576,0.019292618,0.068880399,0.33962984,0.018267305,0.122062554,0.486260638,0.02828787,0.186741383,1,0.030801985,0.194428898,0.749422476,0.028615461,0.19284592,0.589312176,0.020262531,0.131208788,0.46467673,0.062721883,0.114580814,0.167999181,0.167569437,0.171242247,0.085311724,0.049224302,0.018997359,0.058987698,0.05325275,0.063136736,0.056539705,0.068880399,0.272685724,0.296385024,0.474119597,0.402906784,0.369161127,0.318311868,0.11276987,0.123746227,0.177466092,0.201115741,0.196147322,0.182026794,0.047033406,0.0187423,0.037395292,0.047057639,0.049116109,0.04685981,0.007393944,0.067752182,0.08853442,0.09626054,0.09731737,0.077691125,0.12944127,0.03684379,0.128378972,0.123796238,0.189382008,0.178629786,0.211021194,0.197270772,0.202512068,0.189509795,0.183583876,0.129113593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.046766629
