"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"738",1,3,5,370,21,15,320,21,"Favorite","Uniform",177.48
"1474",1,3,5,362,28,20,2742,28,"Favorite","Uniform",136.27
"841",1,3,4,291,8,8,338,3,"Favorite","Uniform",192.26
"2711",1,2,4,468,10,9,2469,10,"Uniform","Uniform",130.01
"145",2,1,6,399,20,14,536,20,"Favorite","Uniform",146.7
"1397",1,3,6,330,15,12,1385,9,"Favorite","Uniform",163.18
"2523",1,2,5,458,18,16,8792,14,"Favorite","Uniform",279.99
"385",1,2,6,355,31,23,1772,31,"Uniform","Uniform",192.5
"1770",1,2,4,157,9,9,195,3,"Uniform","Uniform",246.52
"652",1,2,5,401,20,21,4271,10,"Favorite","Uniform",259.03
"403",1,2,4,372,11,11,988,11,"Favorite","Uniform",125
"2375",1,2,5,112,14,13,91,14,"Uniform","Uniform",112.5
"2821",1,3,5,420,10,10,865,10,"Favorite","Uniform",100
"1180",1,3,4,191,14,14,204,14,"Favorite","Uniform",112.5
"2095",1,2,4,390,14,14,3678,14,"Favorite","Uniform",107.5
"299",2,1,5,335,9,9,1582,9,"Favorite","Uniform",111.18
"1209",1,1,5,433,19,15,108,19,"Favorite","Uniform",105
"864",1,2,4,440,16,13,1887,16,"Favorite","Uniform",124
"2563",1,3,3,392,25,17,1512,25,"Favorite","Uniform",177.5
"1411",1,5,8,248,11,10,156,5,"Favorite","Uniform",215
"2547",1,1,6,207,7,7,522,7,"Favorite","Uniform",110
"2553",1,2,6,201,23,23,902,18,"Favorite","Uniform",311.33
"2496",1,2,4,206,15,15,1671,0,"Favorite","Uniform",194.61
"1382",1,3,4,417,14,14,3099,2,"Favorite","Uniform",197.93
"2369",1,4,2,440,15,12,3028,15,"Uniform","Uniform",105
"1975",1,3,4,371,15,12,4927,15,"Favorite","Uniform",112.5
"2228",1,3,8,291,14,12,665,12,"Favorite","Uniform",187.48
"2",1,2,3,442,20,20,245,7,"Favorite","Uniform",382.4
"1491",1,1,8,210,16,16,392,15,"Favorite","Uniform",149.25
"690",1,2,4,381,15,15,921,15,"Favorite","Uniform",145
"1190",1,2,6,451,24,20,1502,24,"Favorite","Uniform",168.75
"1920",1,1,7,346,13,12,191,10,"Uniform","Uniform",126.13
"1102",1,2,2,413,14,14,159,14,"Favorite","Uniform",132.5
"348",2,3,1,392,21,21,582,21,"Favorite","Uniform",202.08
"763",1,1,8,237,13,11,782,13,"Favorite","Uniform",102.5
"2090",1,3,3,308,19,15,1155,12,"Uniform","Uniform",288.65
"1306",1,2,3,453,8,8,3118,7,"Uniform","Uniform",102.49
"2464",1,2,5,331,10,9,981,10,"Favorite","Uniform",107.5
"322",2,5,1,295,16,16,7097,16,"Favorite","Uniform",166.87
"1359",1,4,2,466,16,13,490,15,"Favorite","Uniform",105.49
"3077",1,3,8,145,9,9,435,9,"Favorite","Uniform",112.5
"2789",1,3,4,465,27,24,2743,27,"Favorite","Uniform",218.76
"2767",1,3,5,326,11,11,273,10,"Uniform","Uniform",127.48
"547",1,1,5,413,9,9,419,9,"Favorite","Uniform",105
"408",1,2,3,365,18,18,1449,17,"Uniform","Uniform",127.51
"2037",1,4,2,240,16,13,1244,10,"Favorite","Uniform",152
"1071",1,2,6,463,12,12,459,12,"Favorite","Uniform",180
"2047",1,4,3,186,16,13,481,16,"Uniform","Uniform",102.5
"998",1,3,3,421,9,9,741,9,"Favorite","Uniform",120
"585",1,2,3,379,6,6,242,0,"Favorite","Uniform",100.44
"2436",1,3,5,371,7,7,575,6,"Favorite","Uniform",192.49
"292",2,3,5,224,14,14,204,14,"Favorite","Uniform",114.26
"1453",1,1,5,361,10,10,918,10,"Favorite","Uniform",135
"1591",1,2,5,373,14,14,422,14,"Favorite","Uniform",145
"1866",1,2,6,172,23,21,1163,17,"Favorite","Uniform",342.5
"1035",1,1,7,412,11,9,4521,11,"Uniform","Uniform",110
"1519",1,3,3,462,25,22,4201,25,"Favorite","Uniform",163.28
"2965",1,1,8,348,16,15,700,16,"Uniform","Uniform",120.53
"1500",1,1,6,189,18,18,2605,17,"Favorite","Uniform",208.74
"2764",1,4,1,318,7,7,90,2,"Favorite","Uniform",185.89
"2838",1,2,7,441,17,17,2215,17,"Favorite","Uniform",257.5
"1889",1,3,6,464,56,39,188,56,"Favorite","Uniform",365
"1274",1,1,6,201,12,12,1176,12,"Favorite","Uniform",125
"456",1,3,4,425,10,10,1814,8,"Favorite","Uniform",157.44
"2899",1,3,4,203,9,8,1857,5,"Favorite","Uniform",118.21
"934",1,2,5,214,10,9,946,6,"Uniform","Uniform",119.15
"189",2,1,5,454,10,10,548,10,"Favorite","Uniform",121.9
"2935",1,2,4,413,119,112,4202,115,"Favorite","Uniform",990.56
"2231",1,2,3,389,29,19,1457,29,"Favorite","Uniform",155
"441",1,3,5,239,39,40,3378,38,"Favorite","Uniform",497.48
"1699",1,2,5,231,33,29,381,33,"Favorite","Uniform",263.75
"2951",1,3,4,438,13,13,906,13,"Favorite","Uniform",132.5
"1810",1,2,5,439,13,13,616,13,"Favorite","Uniform",125
"1250",1,2,4,120,8,8,88,2,"Favorite","Uniform",197.5
"2002",1,2,6,277,18,14,201,12,"Favorite","Uniform",202.44
"988",1,2,4,305,30,28,10307,30,"Favorite","Uniform",322.5
"950",1,3,6,200,15,15,248,15,"Favorite","Uniform",173.01
"679",1,1,7,357,17,13,1801,13,"Favorite","Uniform",189.23
"1140",1,2,4,373,19,15,866,19,"Favorite","Uniform",190
"3036",1,2,4,424,20,20,4022,18,"Favorite","Uniform",147.49
"476",1,2,5,319,3,3,571,1,"Favorite","Uniform",139.99
"281",2,1,6,466,10,10,1533,10,"Favorite","Uniform",112.8
"438",1,2,7,458,12,9,2067,10,"Uniform","Uniform",113.14
"2126",1,2,3,414,19,19,3303,17,"Favorite","Uniform",144.23
"1907",1,3,4,367,22,17,3728,22,"Uniform","Uniform",207.5
"2744",1,1,6,466,7,7,53,5,"Favorite","Uniform",152.48
"2071",1,2,3,383,11,11,1922,11,"Favorite","Uniform",110
"2268",1,2,9,196,24,24,4352,23,"Favorite","Uniform",199.99
"1603",1,3,3,428,24,25,5721,6,"Favorite","Uniform",324.83
"2029",1,1,7,461,24,21,2409,24,"Favorite","Uniform",180.02
"2526",1,3,3,373,8,8,1078,8,"Favorite","Uniform",102.47
"2416",1,2,4,439,13,13,3542,10,"Favorite","Uniform",109.05
"3010",1,2,4,365,11,11,3465,11,"Uniform","Uniform",127.52
"1350",1,1,9,295,14,11,210,14,"Favorite","Uniform",107
"957",1,4,3,392,19,17,2034,19,"Uniform","Uniform",147.51
"1257",1,2,6,432,23,20,4676,23,"Favorite","Uniform",161.25
"33",1,4,3,448,20,10,4788,20,"Uniform","Uniform",117.5
"564",1,3,4,365,14,12,799,14,"Favorite","Uniform",135
"2583",1,3,6,281,12,13,676,9,"Favorite","Uniform",150.06
"709",1,1,5,251,15,15,2056,15,"Favorite","Uniform",122.51
"733",1,2,5,469,3,3,1454,1,"Favorite","Uniform",139.99
"235",2,2,5,427,9,9,2750,9,"Favorite","Uniform",124.76
"753",1,2,4,396,22,21,585,14,"Uniform","Uniform",193.01
"2241",1,2,8,108,13,13,143,13,"Favorite","Uniform",200
"2593",1,2,6,419,32,31,4166,32,"Favorite","Uniform",215.02
"1522",1,2,5,463,17,17,6378,17,"Favorite","Uniform",139.25
"1186",1,2,2,214,10,10,3331,5,"Favorite","Uniform",225
"754",1,3,4,440,12,10,795,12,"Favorite","Uniform",122.5
"340",2,2,5,412,8,8,1373,8,"Favorite","Uniform",102.54
"1192",1,3,3,369,24,24,589,24,"Favorite","Favorite",240
"1747",1,2,2,366,17,13,766,17,"Favorite","Uniform",107.5
"662",1,1,7,460,13,13,663,13,"Favorite","Uniform",215
"1357",1,2,6,203,18,14,481,18,"Uniform","Uniform",145
"665",1,2,5,191,15,15,3032,15,"Favorite","Uniform",260
"1532",1,2,4,437,5,5,4,4,"Favorite","Uniform",134.99
"1079",1,2,5,242,7,7,1665,1,"Favorite","Uniform",200
"1981",1,1,6,423,28,20,1429,28,"Uniform","Uniform",170
"1142",1,1,8,197,12,12,432,12,"Favorite","Uniform",107.51
"1083",2,1,8,333,11,11,1153,11,"Favorite","Uniform",163.87
"1625",1,1,8,270,19,16,118,11,"Favorite","Uniform",342.49
"2253",1,2,4,365,13,13,516,13,"Favorite","Uniform",102.5
"673",1,3,5,448,13,13,1576,13,"Favorite","Uniform",172.5
"1256",1,1,4,359,13,13,337,7,"Favorite","Uniform",103.41
"808",1,2,4,337,10,10,458,10,"Favorite","Uniform",110
"1915",1,2,4,244,15,12,316,15,"Uniform","Uniform",118
"559",1,2,4,400,20,18,226,20,"Favorite","Uniform",212.5
"2623",1,1,4,446,12,12,3308,12,"Favorite","Uniform",152.5
"2267",1,3,2,218,31,29,914,31,"Uniform","Uniform",180.04
"3074",1,2,3,155,18,12,180,18,"Uniform","Uniform",100
"1876",1,4,2,424,3,3,1421,1,"Favorite","Uniform",107.98
"1129",1,2,7,465,11,11,499,11,"Favorite","Uniform",102.5
"1607",1,2,2,184,10,9,346,10,"Uniform","Uniform",100
"2652",1,4,2,324,9,9,141,4,"Uniform","Uniform",215.48
"1763",1,3,4,421,27,18,6865,27,"Uniform","Uniform",105
"2544",1,5,5,331,19,19,975,18,"Favorite","Uniform",211.83
"947",1,2,4,375,25,19,2175,25,"Favorite","Uniform",157.51
"2144",1,4,3,456,34,34,6752,32,"Favorite","Uniform",441.23
"802",1,3,6,205,15,12,206,15,"Favorite","Uniform",127.5
"1798",1,1,5,463,8,8,1289,4,"Uniform","Uniform",112.97
"1456",1,1,5,441,33,30,453,33,"Favorite","Uniform",297.53
"3026",1,1,5,428,11,11,1651,3,"Favorite","Uniform",148.3
"1707",1,2,4,402,10,9,2657,10,"Favorite","Uniform",105
"2759",1,5,6,238,37,37,10404,37,"Favorite","Uniform",582.5
"2724",1,3,3,359,17,17,2175,17,"Uniform","Uniform",112.5
"828",1,1,5,450,15,15,1426,11,"Favorite","Uniform",154.94
"971",1,2,3,252,22,22,281,22,"Favorite","Uniform",197.42
"2974",1,2,3,429,12,12,1863,8,"Favorite","Uniform",107.49
"1870",1,3,4,334,19,15,996,16,"Favorite","Uniform",187.22
"2827",1,1,5,110,11,11,669,11,"Favorite","Uniform",123.07
"1407",1,2,2,412,16,17,886,9,"Favorite","Uniform",284.32
"1226",1,2,6,367,14,10,992,14,"Uniform","Uniform",145
"1986",1,2,3,362,16,16,899,16,"Favorite","Uniform",196.25
"459",1,3,6,434,16,15,5488,16,"Favorite","Uniform",140.01
"1725",1,1,5,404,8,8,901,8,"Favorite","Uniform",102.5
"719",1,2,4,464,14,14,1713,14,"Favorite","Uniform",125
"2895",1,1,4,324,11,10,72,5,"Favorite","Favorite",206.79
"1809",1,2,3,418,16,15,5698,16,"Favorite","Uniform",185
"1549",1,2,5,335,10,10,757,10,"Favorite","Uniform",170
"1210",1,2,6,409,13,13,1102,13,"Favorite","Uniform",135.01
"2645",1,2,3,212,14,10,111,14,"Uniform","Uniform",127.5
"1094",1,1,5,432,11,11,871,5,"Favorite","Uniform",157.96
"866",1,2,5,432,45,46,8114,40,"Favorite","Uniform",470.69
"513",1,2,5,370,22,20,1432,11,"Favorite","Uniform",293.03
"517",1,1,7,387,15,14,1809,15,"Favorite","Uniform",123.51
"1446",1,4,4,381,14,14,15,14,"Favorite","Uniform",100
"759",1,1,5,415,20,20,1340,20,"Favorite","Uniform",240
"649",1,3,2,415,14,14,690,14,"Favorite","Uniform",115
"2021",1,3,5,451,31,32,3287,29,"Uniform","Uniform",294.92
"143",2,3,5,368,13,13,495,13,"Favorite","Uniform",113.35
"2099",1,3,4,301,19,14,2485,19,"Favorite","Uniform",110
"1054",1,2,2,465,17,17,8710,12,"Favorite","Uniform",256.64
"1224",1,2,2,399,11,11,2057,11,"Favorite","Uniform",113.76
"2456",1,2,7,385,16,14,1224,12,"Uniform","Uniform",151.99
"2748",1,2,5,452,23,20,3175,23,"Favorite","Uniform",167.51
"845",1,2,4,256,6,6,65,2,"Uniform","Uniform",159.97
"2872",1,3,4,328,17,17,1272,17,"Favorite","Uniform",157.51
"2176",1,1,6,260,15,15,162,15,"Favorite","Uniform",145
"2050",1,2,5,433,42,42,10159,42,"Favorite","Uniform",335
"158",2,1,7,204,11,11,1908,11,"Favorite","Uniform",110.43
"3150",1,1,4,371,19,15,86,19,"Uniform","Uniform",105
"1426",1,1,7,309,8,8,511,2,"Favorite","Uniform",101.98
"1671",1,2,6,369,17,13,1587,17,"Favorite","Uniform",132.5
"2082",1,2,4,365,14,14,488,14,"Favorite","Favorite",153.75
"2729",1,1,113,419,17,17,610,16,"Favorite","Uniform",159.99
"1843",1,3,2,458,21,17,1497,17,"Favorite","Uniform",226.86
"1276",1,2,5,415,21,16,1486,21,"Uniform","Uniform",132.5
"1614",1,1,4,459,16,13,1410,14,"Uniform","Uniform",122.98
"175",2,1,6,383,13,13,249,13,"Favorite","Uniform",150.76
"777",1,2,4,423,17,17,6941,13,"Favorite","Uniform",200.92
"1182",1,2,6,366,15,11,680,15,"Favorite","Uniform",107.5
"588",1,2,4,381,5,5,441,0,"Favorite","Uniform",209.95
"2473",1,1,6,421,8,8,444,5,"Favorite","Uniform",102.97
"455",1,1,7,221,10,10,236,10,"Favorite","Uniform",137.51
"2387",1,4,5,318,20,14,5006,20,"Uniform","Uniform",120
"1624",1,4,2,366,28,18,4240,27,"Uniform","Uniform",126.74
"1966",1,4,3,387,15,10,3310,15,"Uniform","Uniform",110
"510",1,1,6,445,12,12,889,12,"Favorite","Uniform",125
"1878",1,2,6,455,13,12,3771,13,"Favorite","Uniform",115
"925",1,1,4,420,16,11,779,13,"Uniform","Uniform",123.03
"2148",1,2,4,414,29,19,2168,29,"Favorite","Uniform",150.01
"1183",1,4,3,211,14,13,2247,14,"Uniform","Uniform",105.02
"2988",1,1,6,362,25,22,4232,25,"Uniform","Uniform",152.26
"2865",1,1,5,453,23,23,904,23,"Favorite","Uniform",220
"2152",1,1,7,342,9,9,27,6,"Uniform","Uniform",109.99
"762",1,1,6,412,31,27,1779,31,"Uniform","Uniform",306
"657",1,2,7,346,12,11,2152,8,"Favorite","Uniform",138.46
"1754",1,2,5,111,13,13,288,10,"Favorite","Uniform",152.68
"791",1,1,5,298,11,11,1748,11,"Favorite","Uniform",137.5
"1570",1,1,6,361,8,8,822,8,"Favorite","Uniform",120
"2320",1,2,4,182,10,10,201,5,"Favorite","Uniform",217.98
"497",1,3,6,112,18,15,378,18,"Uniform","Uniform",120
"1194",1,2,7,258,16,13,3371,16,"Favorite","Uniform",152.5
"1392",1,1,6,368,7,7,503,7,"Favorite","Uniform",107.5
"2561",1,2,7,352,39,39,4980,39,"Favorite","Uniform",537.5
"2730",1,2,6,458,29,29,428,29,"Favorite","Uniform",220
"2601",1,1,5,335,15,13,595,11,"Favorite","Uniform",167.46
"1987",1,3,1,433,17,13,2234,17,"Favorite","Uniform",132.5
"2800",1,2,5,372,42,30,1500,41,"Favorite","Uniform",235.01
"1521",1,3,6,246,11,11,1053,11,"Favorite","Uniform",100
"1698",1,2,5,335,15,15,869,15,"Favorite","Uniform",153.75
"990",1,2,3,114,16,16,907,16,"Favorite","Uniform",155
"1022",1,2,8,167,4,6,214,1,"Favorite","Uniform",104.27
"59",1,4,5,384,12,12,527,12,"Favorite","Uniform",107.5
"1479",1,2,3,432,10,9,777,7,"Favorite","Uniform",119.98
"2560",1,2,4,421,14,11,143,14,"Uniform","Favorite",142.5
"19",1,2,6,211,7,7,428,0,"Favorite","Uniform",144.93
"212",2,2,4,370,12,9,466,12,"Favorite","Uniform",121.29
"3165",2,3,3,224,13,11,1633,13,"Uniform","Uniform",113.9
"2261",1,1,5,260,13,13,4840,13,"Favorite","Uniform",132.51
"2158",1,1,3,437,10,10,1309,10,"Favorite","Uniform",102.5
"2851",1,2,5,451,20,17,818,20,"Favorite","Uniform",162.51
"1368",1,2,4,458,25,23,4500,24,"Favorite","Uniform",199.99
"219",2,3,8,331,13,11,188,13,"Favorite","Uniform",101.73
"1902",1,6,0,439,14,14,2952,14,"Favorite","Uniform",185
"2222",1,2,6,380,21,21,1043,21,"Favorite","Uniform",145
"402",1,7,5,227,12,12,2669,12,"Favorite","Uniform",130
"1161",1,5,7,366,11,11,384,11,"Favorite","Uniform",102.5
"659",1,3,6,456,15,15,1657,11,"Favorite","Uniform",205.46
"170",2,2,4,372,14,10,2572,14,"Uniform","Uniform",136.56
"1158",1,1,6,352,18,12,1066,14,"Uniform","Uniform",115.46
"190",2,3,4,316,16,16,4443,16,"Favorite","Uniform",147.17
"661",1,3,4,467,34,29,684,34,"Favorite","Uniform",267.5
"160",2,2,3,395,18,11,1455,18,"Favorite","Uniform",132.27
"1958",1,3,4,183,7,7,211,7,"Favorite","Uniform",100
"870",1,3,6,201,8,5,152,8,"Favorite","Uniform",110
"294",2,1,5,381,22,21,2611,22,"Favorite","Uniform",243.9
"210",2,2,3,378,18,18,488,18,"Favorite","Uniform",141.65
"2568",1,5,2,459,23,19,3479,23,"Favorite","Uniform",170
"2199",1,2,4,366,27,26,363,25,"Uniform","Uniform",285.01
"2380",1,1,5,350,18,14,1076,14,"Favorite","Uniform",147.65
"2861",1,3,3,365,44,41,4845,44,"Uniform","Uniform",435.01
"302",2,2,3,344,15,15,4142,15,"Favorite","Uniform",162.19
"289",2,1,5,431,13,13,1776,13,"Favorite","Uniform",125.18
"2325",1,4,5,184,27,25,355,27,"Uniform","Uniform",235.04
"2283",1,2,3,359,9,7,1631,9,"Favorite","Uniform",122.5
"28",1,4,3,418,51,41,2947,51,"Uniform","Uniform",388.01
"2265",1,1,113,366,32,29,3067,32,"Favorite","Uniform",378.76
"2120",1,2,4,272,24,23,268,24,"Favorite","Uniform",260
"3196",1,2,4,226,15,15,803,15,"Favorite","Uniform",117.51
"3158",1,2,5,354,9,7,22,5,"Favorite","Favorite",197.49
"2971",1,3,5,467,20,18,6381,20,"Uniform","Uniform",202.53
"24",1,1,4,189,22,18,267,12,"Favorite","Uniform",348.09
"1313",1,3,3,240,18,13,1504,18,"Favorite","Uniform",108.75
"1428",1,3,6,362,26,15,596,26,"Favorite","Uniform",117.5
"1130",1,4,2,461,12,13,2352,7,"Favorite","Uniform",109.36
"1347",1,1,7,122,12,12,1630,5,"Uniform","Uniform",161.13
"2067",2,2,6,428,28,28,1632,28,"Favorite","Uniform",309.94
"161",2,2,4,392,14,14,1354,14,"Favorite","Uniform",169.5
"1028",1,2,5,338,14,12,1043,14,"Favorite","Uniform",111
"2324",1,1,8,362,15,12,320,15,"Favorite","Uniform",105.5
"2418",1,3,3,454,9,9,3152,9,"Favorite","Uniform",100
"688",1,1,5,385,11,11,24,11,"Favorite","Uniform",100
"1024",1,2,7,389,15,15,774,15,"Favorite","Uniform",182.51
"2477",1,3,2,355,20,20,488,20,"Favorite","Uniform",107.47
"2467",1,2,5,305,12,12,1265,12,"Favorite","Uniform",105
"855",1,3,4,404,12,8,1473,12,"Favorite","Uniform",147.5
"425",1,3,3,392,13,13,1414,13,"Favorite","Uniform",127.5
"2032",1,2,8,330,19,17,1366,19,"Uniform","Uniform",202.5
"300",2,3,5,158,15,15,4014,15,"Favorite","Uniform",109.46
"98",2,2,6,395,15,14,1301,15,"Favorite","Uniform",201.33
"2882",1,1,5,356,19,16,1241,11,"Favorite","Uniform",308.96
"101",2,1,5,273,13,13,2334,13,"Favorite","Uniform",108.02
"975",1,2,5,441,12,10,663,12,"Favorite","Uniform",130
"2636",1,2,3,453,24,22,418,24,"Favorite","Uniform",177.51
"1778",1,3,5,140,18,13,1414,15,"Favorite","Uniform",163.13
"824",1,2,6,366,13,9,2545,13,"Favorite","Uniform",105.01
"2123",1,2,5,372,11,11,2831,11,"Favorite","Uniform",100
"2399",1,1,8,431,30,22,803,30,"Uniform","Uniform",172.79
"904",1,1,4,372,9,9,402,6,"Favorite","Favorite",100.47
"1416",1,2,6,119,15,15,2420,15,"Favorite","Uniform",170
"2004",1,3,8,214,8,8,2052,2,"Favorite","Uniform",197.5
"2979",1,1,7,224,10,10,1367,10,"Favorite","Uniform",115.01
"1849",1,2,3,345,10,9,287,10,"Favorite","Uniform",125
"2807",1,2,5,438,21,16,609,21,"Uniform","Uniform",148.5
"3133",1,1,6,365,30,30,815,23,"Favorite","Uniform",478.65
"343",2,2,6,400,9,9,5944,9,"Favorite","Uniform",168.44
"1509",1,2,7,447,20,13,374,20,"Uniform","Uniform",110
"646",1,3,3,380,18,15,2400,18,"Uniform","Uniform",130
"1394",1,1,6,320,14,14,2124,14,"Favorite","Uniform",106.5
"1061",1,2,6,216,20,15,323,20,"Uniform","Uniform",132.5
"2816",1,2,2,195,11,9,346,8,"Favorite","Uniform",126.16
"1112",1,1,5,445,46,37,326,38,"Favorite","Uniform",440.48
"656",1,1,6,368,7,7,2242,7,"Favorite","Uniform",103.75
"1783",1,1,4,353,12,12,133,8,"Favorite","Favorite",110.46
"391",1,2,3,460,19,17,925,19,"Uniform","Uniform",180.03
"2766",1,2,4,440,14,13,1750,14,"Favorite","Uniform",165
"1472",1,1,6,334,12,12,51,1,"Favorite","Uniform",215.83
"466",1,3,6,396,13,10,1367,13,"Favorite","Uniform",112.48
"1776",1,2,8,155,9,9,388,9,"Favorite","Favorite",110
"2814",1,1,4,291,15,15,708,15,"Favorite","Uniform",137.5
"1909",1,3,5,337,11,11,1210,9,"Favorite","Uniform",122.48
"1195",1,2,3,319,11,11,359,11,"Favorite","Uniform",140
"922",1,2,3,367,22,17,2725,22,"Favorite","Uniform",191
"2381",1,3,4,271,11,11,742,11,"Favorite","Uniform",107.5
"410",1,1,8,250,13,13,165,13,"Favorite","Uniform",102.5
"550",1,2,8,354,12,8,1678,12,"Uniform","Uniform",115
"2554",1,2,5,433,16,15,3182,15,"Favorite","Uniform",110.52
"877",1,3,5,434,17,17,754,13,"Favorite","Uniform",188.46
"1034",1,2,7,377,17,15,1798,17,"Favorite","Uniform",152.5
"2230",1,2,7,117,37,24,1175,37,"Uniform","Uniform",252.5
"2848",1,1,5,366,43,28,257,43,"Favorite","Uniform",310
"51",2,1,6,363,15,11,1693,15,"Favorite","Uniform",117.71
"1156",1,2,4,427,24,18,2014,22,"Uniform","Uniform",130
"1373",1,1,7,427,20,20,885,20,"Favorite","Uniform",204.25
"1198",1,1,5,364,22,20,949,22,"Uniform","Uniform",141.25
"973",2,2,5,454,16,16,2252,16,"Favorite","Uniform",195.24
"2459",1,1,5,392,22,22,1824,22,"Favorite","Uniform",207.5
"1291",2,3,4,374,12,11,1849,12,"Favorite","Uniform",128.92
"1514",1,2,4,104,10,9,633,10,"Uniform","Uniform",100.01
"2732",1,3,8,227,19,19,1794,19,"Favorite","Uniform",227.5
"3177",1,1,3,413,21,20,95,21,"Uniform","Uniform",152.5
"592",1,1,6,368,13,11,888,11,"Uniform","Uniform",100.63
"875",1,5,4,369,21,17,1703,21,"Favorite","Uniform",165
"2749",1,2,5,378,8,8,749,4,"Uniform","Uniform",124.49
"1655",1,1,5,470,11,10,5271,11,"Favorite","Uniform",105
"2960",1,2,5,167,12,10,1012,8,"Uniform","Uniform",116.65
"2993",1,2,4,107,19,19,379,19,"Favorite","Uniform",135.02
"2174",1,3,5,372,16,12,1241,16,"Favorite","Uniform",102.5
"3107",1,2,5,367,9,9,871,9,"Favorite","Uniform",100
"2582",1,1,5,367,17,17,5491,17,"Favorite","Uniform",155
"524",1,2,4,216,12,12,1416,10,"Favorite","Uniform",108.73
"797",1,2,6,374,15,14,2576,15,"Favorite","Uniform",145
"268",2,2,6,365,29,29,162,29,"Favorite","Uniform",313.85
"594",1,1,11,345,14,11,422,11,"Favorite","Uniform",137.97
"2755",1,2,5,335,16,12,1100,16,"Favorite","Uniform",110
"835",1,2,4,398,6,5,423,5,"Favorite","Uniform",137.49
"2046",1,2,7,209,12,68,106,5,"Favorite","Uniform",791.87
"2213",1,1,4,373,25,24,11609,20,"Favorite","Uniform",248.71
"297",2,2,3,381,7,7,231,7,"Favorite","Uniform",104.12
"675",1,2,5,471,14,14,2119,14,"Favorite","Uniform",112.5
"2959",1,3,4,365,20,20,2357,17,"Favorite","Uniform",132.5
